input,output
pra,prakqRta/prakarRa/uwwama/aXika
parA,viroXe/wiraskAre
apa,xUra/rahiwa/paScAw/anuciwa/hIna/viparIwaH
sam,samIpe/miliwvA/samyagwayA
anu,yogya/samIpa/pqRTe/samAnA/viSeRe/viroXe
ava,avagawaH/aXa/iRawawA
nis,niSSeRa/niReXe/rahiwA/bahirBAva/SUnya
nir,nirgawa/viparIwa
xus,xuRta/kaTora/asAXya/asamyag
xur,xuRta/asamyag
vi,viSeRa/Binna/viBajane
Af,maryAxA/aBiviXi/paryanwa/AramBa
ni,aXa/samIpe
aXi,upari/muKya/praXAna
api,samIpe/praSna/AcCAxane/yojane
awi,aXikam
su,samqxXi/suRTu/SreRTa/samyag
ux,upari/awiSaye
aBi,samIpam/agre/upari/melana
prawi,prawiniXiH/prawixAnam
pari,samIpam/sarvawra/pariwaH
upa,samIpam/gONe

